test_img,test_text,test_#,class,train_#,train_img,train_text
866f92b2d.jpg,H‘WC#1257A,#1257,w_7dd1222,#1257,be009cdac.jpg,HWC #1257 YONAH #2623
5d7277fa1.jpg,HWC #7222 YoNAH #1458,#7222,w_f8b7f05,#7222,e88debd93.jpg,HWC#7222
d0827d811.jpg,#53555 O.|F.E.S,#5355,new_whale,#5355,9714deb5e.jpg,#53555 Ocean Rese arch EdL cation Society
d0827d811.jpg,#53555 O.|F.E.S,#5355,new_whale,#5355,f2b63f850.jpg,#53559 Ocean Rese arch EdL cation Society
d0827d811.jpg,#53555 O.|F.E.S,#5355,new_whale,#5355,de78690b1.jpg,#5355 Ocean Rese arch EdL cation Society
d0827d811.jpg,#53555 O.|F.E.S,#5355,w_c38eb22,#5355,bf06fdc0b.jpg,#53553 Ocean Rese arch EdL cation Society
d0827d811.jpg,#53555 O.|F.E.S,#5355,new_whale,#5355,7625168f0.jpg,#53550 Ocean Reseeerch Edwtation Society
d0827d811.jpg,#53555 O.|F.E.S,#5355,new_whale,#5355,f60fb9ea7.jpg,#53557 Ocean Rese arch EdL cation Society
d0827d811.jpg,#53555 O.|F.E.S,#5355,new_whale,#5355,2f30ae22c.jpg,#535528 O.R.E.S
7d45a3301.jpg,",. 3

riAch #0521 Panda",#0521,w_af294f7,#0521,3e56044c4.jpg,NAHWC #0521 Panda YoNAH #2976
5a971e786.jpg,".mr -v ""’ ,,,,,

    

VNAHWC #4347 ‘ YoNAH #Y0842",#4347,w_65e0628,#4347,32227428e.jpg,'N‘AHWC #4347 YoNXi—I #Y0842
be76e5f8f.jpg,#3497 Memorial University of Newfoundland,#3497,w_6d527ff,#3497,05db04583.jpg,HWC #3497 YoNAH #1369
1e6e48626.jpg,#3524 Memorial University of Newfoundland,#3524,w_1632c45,#3524,353275c0f.jpg,NAHWC #3524 YoNAH #1441
1e6e48626.jpg,#3524 Memorial University of Newfoundland,#3524,new_whale,#3524,f717d0d27.jpg,NAHWC #8524 YoNAH #0835
1173d784c.jpg,NAHWC #4213 7 YoNAH #Y6048 7,#4213,w_fe0c54f,#4213,7dbc35b6c.jpg,NAHWC #4213 YoNAH #0048
5381b61ae.jpg,#53556 Ocean Rese arch EdL cation Society,#5355,new_whale,#5355,9714deb5e.jpg,#53555 Ocean Rese arch EdL cation Society
5381b61ae.jpg,#53556 Ocean Rese arch EdL cation Society,#5355,new_whale,#5355,f2b63f850.jpg,#53559 Ocean Rese arch EdL cation Society
5381b61ae.jpg,#53556 Ocean Rese arch EdL cation Society,#5355,new_whale,#5355,de78690b1.jpg,#5355 Ocean Rese arch EdL cation Society
5381b61ae.jpg,#53556 Ocean Rese arch EdL cation Society,#5355,w_c38eb22,#5355,bf06fdc0b.jpg,#53553 Ocean Rese arch EdL cation Society
5381b61ae.jpg,#53556 Ocean Rese arch EdL cation Society,#5355,new_whale,#5355,7625168f0.jpg,#53550 Ocean Reseeerch Edwtation Society
5381b61ae.jpg,#53556 Ocean Rese arch EdL cation Society,#5355,new_whale,#5355,f60fb9ea7.jpg,#53557 Ocean Rese arch EdL cation Society
5381b61ae.jpg,#53556 Ocean Rese arch EdL cation Society,#5355,new_whale,#5355,2f30ae22c.jpg,#535528 O.R.E.S
e51030771.jpg,NAHWC #1458 YoNAH #1245,#1458,w_1b8f126,#1458,33d619cb1.jpg,NAHWC #1458 YoNAH #1245
5edd0c9a0.jpg,NAHWC #0509 Equation AW/BHWW 2005,#0509,w_28cb717,#0509,fcaf9e9df.jpg,NAHWC #0509 Equation AW/BHWW 2008
092947f89.jpg,"v

    

NAHWC #0372 Vee AW/BHWW 006",#0372,w_a31ead9,#0372,5cce7e81c.jpg,NAHWC #0372 Vee YoNAH #0007
c303faac6.jpg,#52418 Ottean Research Education Sc ciety,#5241,new_whale,#5241,535ed8a87.jpg,#52416 Ottean Research Education Sc ciety
c303faac6.jpg,#52418 Ottean Research Education Sc ciety,#5241,new_whale,#5241,972f6d304.jpg,#52412 Ottean Research Education Sc ciety
c303faac6.jpg,#52418 Ottean Research Education Sc ciety,#5241,new_whale,#5241,0db59bbec.jpg,#52411 Ottean Research Education Sc ciety
0182ae396.jpg,NAHWC #3608 YoNAH #1304,#3608,w_eafeccd,#3608,5fbd42392.jpg,NAHWC #3608 YoNAH #1304
2bd8ce24f.jpg,#53556,#5355,new_whale,#5355,9714deb5e.jpg,#53555 Ocean Rese arch EdL cation Society
2bd8ce24f.jpg,#53556,#5355,new_whale,#5355,f2b63f850.jpg,#53559 Ocean Rese arch EdL cation Society
2bd8ce24f.jpg,#53556,#5355,new_whale,#5355,de78690b1.jpg,#5355 Ocean Rese arch EdL cation Society
2bd8ce24f.jpg,#53556,#5355,w_c38eb22,#5355,bf06fdc0b.jpg,#53553 Ocean Rese arch EdL cation Society
2bd8ce24f.jpg,#53556,#5355,new_whale,#5355,7625168f0.jpg,#53550 Ocean Reseeerch Edwtation Society
2bd8ce24f.jpg,#53556,#5355,new_whale,#5355,f60fb9ea7.jpg,#53557 Ocean Rese arch EdL cation Society
2bd8ce24f.jpg,#53556,#5355,new_whale,#5355,2f30ae22c.jpg,#535528 O.R.E.S
36d2df14c.jpg,#3332 Dalhousie University,#3332,new_whale,#3332,080ee8d66.jpg,", ,_‘..
HWC #3332 1983 MUN"
81ec3d996.jpg,"h

; ,' k ‘

.4
NAHWC #8694
Paﬂition’s 2005 calf",#8694,w_9f2fb13,#8694,1a9116d41.jpg,"NAHWC #8694 AW/BHWW 2005
Paﬂition’s 2005 calf"
